block_order,phase,slug,title,level,text,image_hint
22,survival,block-022-movimento-e-destino-verbo-run-to,Movimento e Destino (Verbo: Run / To),3,He runs to the school before it closes.,Homem olhando o relógio e correndo para a porta
23,survival,block-023-descoberta-e-objeto-verbo-look-for-find,Descoberta e Objeto (Verbo: Look for / Find),1,I look for.,Alguém procurando algo com uma lupa
23,survival,block-023-descoberta-e-objeto-verbo-look-for-find,Descoberta e Objeto (Verbo: Look for / Find),2,I look for my keys.,Pessoa procurando chaves no sofá
23,survival,block-023-descoberta-e-objeto-verbo-look-for-find,Descoberta e Objeto (Verbo: Look for / Find),3,I look for my keys until I find them.,Pessoa sorrindo com as chaves na mão
24,survival,block-024-pensamento-coletivo-verbo-believe-that,Pensamento Coletivo (Verbo: Believe / That),1,We believe.,Pessoas com expressão de confiança/fé
24,survival,block-024-pensamento-coletivo-verbo-believe-that,Pensamento Coletivo (Verbo: Believe / That),2,We believe that idea.,Grupo apontando para um quadro com um plano/ideia
24,survival,block-024-pensamento-coletivo-verbo-believe-that,Pensamento Coletivo (Verbo: Believe / That),3,We believe that idea is good.,"Sinal de ""joinha"" para o quadro"
25,survival,block-025-escrita-e-mem-ria-verbo-write-about,Escrita e Memória (Verbo: Write / About),1,She writes.,Mulher escrevendo em um caderno
25,survival,block-025-escrita-e-mem-ria-verbo-write-about,Escrita e Memória (Verbo: Write / About),2,She writes about her life.,Fotos de infância e viagens ao lado do caderno
25,survival,block-025-escrita-e-mem-ria-verbo-write-about,Escrita e Memória (Verbo: Write / About),3,She writes about her life in a book.,A mulher segurando um livro pronto
26,survival,block-026-quantidade-e-posse-verbo-have-many,Quantidade e Posse (Verbo: Have / Many),1,They have.,Pessoas segurando caixas
26,survival,block-026-quantidade-e-posse-verbo-have-many,Quantidade e Posse (Verbo: Have / Many),2,They have many things.,Muitas caixas e objetos ao redor delas
26,survival,block-026-quantidade-e-posse-verbo-have-many,Quantidade e Posse (Verbo: Have / Many),3,They have many things but no space.,Pessoas espremidas entre as caixas
27,survival,block-027-tentativa-e-erro-verbo-try-again,Tentativa e Erro (Verbo: Try / Again),1,I try.,Alguém tentando abrir um pote ou resolver um puzzle
27,survival,block-027-tentativa-e-erro-verbo-try-again,Tentativa e Erro (Verbo: Try / Again),2,I try to do this.,Foco na ação sendo executada
27,survival,block-027-tentativa-e-erro-verbo-try-again,Tentativa e Erro (Verbo: Try / Again),3,I try to do this again and again.,Sequência de imagens da mesma pessoa repetindo a ação
28,survival,block-028-mudan-a-de-estado-verbo-become-get,Mudança de Estado (Verbo: Become / Get),1,It gets.,O céu mudando de cor
28,survival,block-028-mudan-a-de-estado-verbo-become-get,Mudança de Estado (Verbo: Become / Get),2,It gets dark.,"O pôr do sol, ficando noite"
28,survival,block-028-mudan-a-de-estado-verbo-become-get,Mudança de Estado (Verbo: Become / Get),3,It gets dark after 6 PM.,Relógio marcando 18:00 e o céu escuro
29,survival,block-029-comunica-o-direta-verbo-tell-truth,Comunicação Direta (Verbo: Tell / Truth),1,Tell me.,Pessoa com a mão na orelha esperando ouvir algo
29,survival,block-029-comunica-o-direta-verbo-tell-truth,Comunicação Direta (Verbo: Tell / Truth),2,Tell me the truth.,Olhar sério e honesto entre duas pessoas
29,survival,block-029-comunica-o-direta-verbo-tell-truth,Comunicação Direta (Verbo: Tell / Truth),3,Tell me the truth always.,Símbolo de infinito ou repetição
30,survival,block-030-prefer-ncia-verbo-like-better,Preferência (Verbo: Like / Better),1,I like.,"Alguém comendo algo gostoso).

** Nível 2: I like this apple. (Imagem: Pessoa segurando uma maçã vermelha"
30,survival,block-030-prefer-ncia-verbo-like-better,Preferência (Verbo: Like / Better),3,I like this apple better than that one.,Pessoa comparando uma maçã bonita com uma estragada
31,expansion,block-031-perman-ncia-verbo-stay-place,Permanência (Verbo: Stay / Place),1,We stay.,Pessoas sentadas em um banco
31,expansion,block-031-perman-ncia-verbo-stay-place,Permanência (Verbo: Stay / Place),2,We stay in this place.,O banco em um parque bonito
31,expansion,block-031-perman-ncia-verbo-stay-place,Permanência (Verbo: Stay / Place),3,We stay in this place during the day.,O sol brilhando sobre o parque
32,expansion,block-032-trabalho-e-ferramentas-verbo-work-with,Trabalho e Ferramentas (Verbo: Work / With),1,You work.,Alguém em frente a um computador
32,expansion,block-032-trabalho-e-ferramentas-verbo-work-with,Trabalho e Ferramentas (Verbo: Work / With),2,You work with a computer.,Foco nas mãos e no teclado
32,expansion,block-032-trabalho-e-ferramentas-verbo-work-with,Trabalho e Ferramentas (Verbo: Work / With),3,You work with a computer every week.,Sete ícones de computador (um para cada dia)
33,expansion,block-033-in-cio-e-fim-verbo-start-finish,Início e Fim (Verbo: Start / Finish),1,I start.,Alguém na linha de partida ou abrindo um livro
33,expansion,block-033-in-cio-e-fim-verbo-start-finish,Início e Fim (Verbo: Start / Finish),2,I start the work.,Pessoa começando a digitar ou construir algo
33,expansion,block-033-in-cio-e-fim-verbo-start-finish,Início e Fim (Verbo: Start / Finish),3,I start the work when I arrive.,Pessoa abrindo a porta do escritório e sentando
34,expansion,block-034-parte-e-todo-substantivo-part-world,Parte e Todo (Substantivo: Part / World),1,This is a part.,Uma peça de um quebra-cabeça
34,expansion,block-034-parte-e-todo-substantivo-part-world,Parte e Todo (Substantivo: Part / World),2,This is a part of the world.,Um mapa de um país
34,expansion,block-034-parte-e-todo-substantivo-part-world,Parte e Todo (Substantivo: Part / World),3,This is a part of the world where I live.,Alguém apontando para a sua casa no mapa
35,expansion,block-035-chamado-e-nome-verbo-call-name,Chamado e Nome (Verbo: Call / Name),1,I call.,Alguém gritando ou usando o telefone
35,expansion,block-035-chamado-e-nome-verbo-call-name,Chamado e Nome (Verbo: Call / Name),2,I call your name.,Balão de fala com o nome de alguém
35,expansion,block-035-chamado-e-nome-verbo-call-name,Chamado e Nome (Verbo: Call / Name),3,I call your name through the door.,Pessoa chamando outra que está atrás de uma porta fechada
36,expansion,block-036-compreens-o-verbo-understand-why,Compreensão (Verbo: Understand / Why),1,You understand.,"Expressão de ""Ah, entendi!"" - o clique"
36,expansion,block-036-compreens-o-verbo-understand-why,Compreensão (Verbo: Understand / Why),2,You understand the problem.,Alguém olhando para um motor quebrado ou conta difícil
36,expansion,block-036-compreens-o-verbo-understand-why,Compreensão (Verbo: Understand / Why),3,You understand the problem now.,Pessoa sorrindo e começando a consertar/resolver
37,expansion,block-037-lembran-a-verbo-remember-face,Lembrança (Verbo: Remember / Face),1,I remember.,"Pessoa tocando a têmpora, pensando"
37,expansion,block-037-lembran-a-verbo-remember-face,Lembrança (Verbo: Remember / Face),2,I remember your face.,O rosto de uma pessoa embaçado ficando nítido
37,expansion,block-037-lembran-a-verbo-remember-face,Lembrança (Verbo: Remember / Face),3,I remember your face from the school.,Foto antiga de formatura/sala de aula
38,expansion,block-038-espa-o-e-dist-ncia-adjetivo-high-low,Espaço e Distância (Adjetivo: High / Low),1,It is high.,Um pássaro voando alto
38,expansion,block-038-espa-o-e-dist-ncia-adjetivo-high-low,Espaço e Distância (Adjetivo: High / Low),2,The bird is high.,O pássaro acima das nuvens
38,expansion,block-038-espa-o-e-dist-ncia-adjetivo-high-low,Espaço e Distância (Adjetivo: High / Low),3,The bird is high above the house.,O pássaro lá no alto e uma casa pequena lá embaixo
39,expansion,block-039-utilidade-verbo-use-way,Utilidade (Verbo: Use / Way),1,I use.,Alguém com um martelo ou ferramenta
39,expansion,block-039-utilidade-verbo-use-way,Utilidade (Verbo: Use / Way),2,I use it this way.,Demonstração do uso correto da ferramenta
39,expansion,block-039-utilidade-verbo-use-way,Utilidade (Verbo: Use / Way),3,I use it this way to fix things.,O objeto sendo consertado
40,expansion,block-040-diferencia-o-adjetivo-same-different,Diferenciação (Adjetivo: Same / Different),1,They are the same.,Duas bolas vermelhas iguais
40,expansion,block-040-diferencia-o-adjetivo-same-different,Diferenciação (Adjetivo: Same / Different),2,These things are the same.,Dois celulares idênticos
40,expansion,block-040-diferencia-o-adjetivo-same-different,Diferenciação (Adjetivo: Same / Different),3,These things are the same but different colors.,Um celular preto e um branco do mesmo modelo
41,expansion,block-041-movimento-e-finalidade-revisitando-go-work,"Movimento e Finalidade (Revisitando: Go, Work)",1,I leave.,Alguém saindo por uma porta
41,expansion,block-041-movimento-e-finalidade-revisitando-go-work,"Movimento e Finalidade (Revisitando: Go, Work)",2,I leave home.,Pessoa saindo de casa com uma mochila
41,expansion,block-041-movimento-e-finalidade-revisitando-go-work,"Movimento e Finalidade (Revisitando: Go, Work)",3,I leave home to go to work.,Pessoa caminhando de casa para o escritório
42,expansion,block-042-percep-o-e-tempo-revisitando-see-time,"Percepção e Tempo (Revisitando: See, Time)",1,I watch.,"Alguém observando atentamente, como TV ou um jogo"
42,expansion,block-042-percep-o-e-tempo-revisitando-see-time,"Percepção e Tempo (Revisitando: See, Time)",2,I watch the time.,Alguém olhando o relógio constantemente
42,expansion,block-042-percep-o-e-tempo-revisitando-see-time,"Percepção e Tempo (Revisitando: See, Time)",3,I watch the time while I wait.,Pessoa sentada em uma sala de espera olhando o relógio
43,expansion,block-043-posse-e-quantidade-revisitando-have-many,"Posse e Quantidade (Revisitando: Have, Many)",1,There is.,Um dedo apontando para a existência de algo
43,expansion,block-043-posse-e-quantidade-revisitando-have-many,"Posse e Quantidade (Revisitando: Have, Many)",2,There is water.,Um copo ou garrafa sobre a mesa
43,expansion,block-043-posse-e-quantidade-revisitando-have-many,"Posse e Quantidade (Revisitando: Have, Many)",3,There is enough water for many people.,Um galão grande de água e vários copos vazios ao redor
44,expansion,block-044-a-o-e-consequ-ncia-revisitando-do-good,"Ação e Consequência (Revisitando: Do, Good)",1,You help.,Alguém oferecendo apoio
44,expansion,block-044-a-o-e-consequ-ncia-revisitando-do-good,"Ação e Consequência (Revisitando: Do, Good)",2,You do good things.,Alguém plantando uma árvore ou ajudando um amigo
44,expansion,block-044-a-o-e-consequ-ncia-revisitando-do-good,"Ação e Consequência (Revisitando: Do, Good)",3,You do good things because you are a friend.,Duas pessoas sorrindo e se abraçando
45,expansion,block-045-espa-o-e-localiza-o-revisitando-place-find,"Espaço e Localização (Revisitando: Place, Find)",1,It is near.,Dois objetos bem próximos um do outro
45,expansion,block-045-espa-o-e-localiza-o-revisitando-place-find,"Espaço e Localização (Revisitando: Place, Find)",2,The place is near.,Um mapa mostrando o destino a poucos metros
45,expansion,block-045-espa-o-e-localiza-o-revisitando-place-find,"Espaço e Localização (Revisitando: Place, Find)",3,I can find the place because it is near.,Pessoa vendo o prédio de destino logo à frente
46,expansion,block-046-necessidade-e-objeto-revisitando-need-money,"Necessidade e Objeto (Revisitando: Need, Money)",1,We buy.,Alguém entregando um cartão ou dinheiro no caixa
46,expansion,block-046-necessidade-e-objeto-revisitando-need-money,"Necessidade e Objeto (Revisitando: Need, Money)",2,We buy food.,Carrinho de supermercado com frutas e pão
46,expansion,block-046-necessidade-e-objeto-revisitando-need-money,"Necessidade e Objeto (Revisitando: Need, Money)",3,We need money to buy food.,Pessoa olhando para a carteira e depois para a comida
47,expansion,block-047-cogni-o-e-d-vida-revisitando-know-ask,"Cognição e Dúvida (Revisitando: Know, Ask)",1,I don't know.,Pessoa com as mãos abertas e expressão de dúvida
47,expansion,block-047-cogni-o-e-d-vida-revisitando-know-ask,"Cognição e Dúvida (Revisitando: Know, Ask)",2,I don't know the way.,Pessoa em uma encruzilhada olhando para um mapa confuso
47,expansion,block-047-cogni-o-e-d-vida-revisitando-know-ask,"Cognição e Dúvida (Revisitando: Know, Ask)",3,I ask for help when I don't know the way.,Pessoa parando um policial para pedir informação
48,expansion,block-048-sentimento-e-raz-o-revisitando-feel-why,"Sentimento e Razão (Revisitando: Feel, Why)",1,You seem.,Alguém observando a expressão de outra pessoa
48,expansion,block-048-sentimento-e-raz-o-revisitando-feel-why,"Sentimento e Razão (Revisitando: Feel, Why)",2,You seem tired.,Alguém bocejando com olheiras
48,expansion,block-048-sentimento-e-raz-o-revisitando-feel-why,"Sentimento e Razão (Revisitando: Feel, Why)",3,I understand why you seem tired.,A pessoa apontando para uma pilha enorme de trabalho
49,expansion,block-049-mudan-a-e-futuro-revisitando-become-will,"Mudança e Futuro (Revisitando: Become, Will)",1,It changes.,Uma lagarta e uma borboleta
49,expansion,block-049-mudan-a-e-futuro-revisitando-become-will,"Mudança e Futuro (Revisitando: Become, Will)",2,The world changes.,Um mapa múndi antigo e um digital moderno
49,expansion,block-049-mudan-a-e-futuro-revisitando-become-will,"Mudança e Futuro (Revisitando: Become, Will)",3,The world will change again.,Um robô ou cidade futurista com um ponto de interrogação
50,expansion,block-050-comunica-o-e-intensidade-revisitando-say-really,"Comunicação e Intensidade (Revisitando: Say, Really)",1,I mean.,Alguém tentando explicar melhor um ponto
50,expansion,block-050-comunica-o-e-intensidade-revisitando-say-really,"Comunicação e Intensidade (Revisitando: Say, Really)",2,I really mean this.,Olhar firme e sincero
50,expansion,block-050-comunica-o-e-intensidade-revisitando-say-really,"Comunicação e Intensidade (Revisitando: Say, Really)",3,"I say ""hello"" but I mean ""I love you"".",Alguém dizendo olá com um coração no balão de pensamento
51,expansion,block-051-perman-ncia-e-condi-o-revisitando-stay-if,"Permanência e Condição (Revisitando: Stay, If)",1,I wait.,Alguém sentado em um banco de praça
51,expansion,block-051-perman-ncia-e-condi-o-revisitando-stay-if,"Permanência e Condição (Revisitando: Stay, If)",2,I wait for you.,Pessoa olhando para o horizonte esperando alguém chegar
51,expansion,block-051-perman-ncia-e-condi-o-revisitando-stay-if,"Permanência e Condição (Revisitando: Stay, If)",3,I will stay here if you come.,Pessoa apontando para o banco e para o relógio
52,expansion,block-052-parte-e-totalidade-revisitando-part-life,"Parte e Totalidade (Revisitando: Part, Life)",1,Every part.,Todas as peças de um motor espalhadas
52,expansion,block-052-parte-e-totalidade-revisitando-part-life,"Parte e Totalidade (Revisitando: Part, Life)",2,Every part of my life.,"Colagem de fotos: infância, trabalho, família"
52,expansion,block-052-parte-e-totalidade-revisitando-part-life,"Parte e Totalidade (Revisitando: Part, Life)",3,You are a part of my life.,O usuário olhando para uma foto de um amigo/parceiro
53,expansion,block-053-prefer-ncia-e-compara-o-revisitando-like-better,"Preferência e Comparação (Revisitando: Like, Better)",1,This is small.,Uma semente na mão
53,expansion,block-053-prefer-ncia-e-compara-o-revisitando-like-better,"Preferência e Comparação (Revisitando: Like, Better)",2,This thing is small.,Um celular muito antigo e pequeno
53,expansion,block-053-prefer-ncia-e-compara-o-revisitando-like-better,"Preferência e Comparação (Revisitando: Like, Better)",3,I like it because small is better.,Pessoa guardando o celular pequeno facilmente no bolso
54,expansion,block-054-movimento-e-acompanhamento-revisitando-go-with,"Movimento e Acompanhamento (Revisitando: Go, With)",1,Walk with me.,Uma mão estendida para caminhar junto
54,expansion,block-054-movimento-e-acompanhamento-revisitando-go-with,"Movimento e Acompanhamento (Revisitando: Go, With)",2,Walk with me through the city.,Duas pessoas andando por uma rua movimentada
54,expansion,block-054-movimento-e-acompanhamento-revisitando-go-with,"Movimento e Acompanhamento (Revisitando: Go, With)",3,We go to the park to walk.,As duas pessoas entrando em uma área verde
55,expansion,block-055-inten-o-e-a-o-revisitando-want-make,"Intenção e Ação (Revisitando: Want, Make)",1,I try to make.,"Alguém com as mãos na massa, cozinhando"
55,expansion,block-055-inten-o-e-a-o-revisitando-want-make,"Intenção e Ação (Revisitando: Want, Make)",2,I want to make food.,"Ingredientes sobre a mesa: tomate, massa"
55,expansion,block-055-inten-o-e-a-o-revisitando-want-make,"Intenção e Ação (Revisitando: Want, Make)",3,I try to make food for my family.,A pessoa servindo a mesa para a família
56,expansion,block-056-verbo-de-uso-revisitando-use-often,"Verbo de Uso (Revisitando: Use, Often)",1,Don't use.,Sinal de proibido sobre uma mão mexendo em algo
56,expansion,block-056-verbo-de-uso-revisitando-use-often,"Verbo de Uso (Revisitando: Use, Often)",2,Don't use that phone.,Um telefone com a tela quebrada ou perigoso
56,expansion,block-056-verbo-de-uso-revisitando-use-often,"Verbo de Uso (Revisitando: Use, Often)",3,I often use this one instead.,Pessoa apontando para um telefone novo e funcionando
57,expansion,block-057-percep-o-auditiva-revisitando-hear-voice,"Percepção Auditiva (Revisitando: Hear, Voice)",1,I hear.,Alguém com a mão atrás da orelha
57,expansion,block-057-percep-o-auditiva-revisitando-hear-voice,"Percepção Auditiva (Revisitando: Hear, Voice)",2,I hear a voice.,Ondas sonoras vindo de uma direção
57,expansion,block-057-percep-o-auditiva-revisitando-hear-voice,"Percepção Auditiva (Revisitando: Hear, Voice)",3,I hear your voice every day.,Alguém ouvindo um áudio no celular com um sorriso
58,expansion,block-058-espa-o-vertical-revisitando-under-high,"Espaço Vertical (Revisitando: Under, High)",1,Put it.,Uma mão colocando um livro em algum lugar
58,expansion,block-058-espa-o-vertical-revisitando-under-high,"Espaço Vertical (Revisitando: Under, High)",2,Put it under the table.,O livro sendo guardado em uma prateleira baixa sob a mesa
58,expansion,block-058-espa-o-vertical-revisitando-under-high,"Espaço Vertical (Revisitando: Under, High)",3,Don't put it high up.,Alguém tentando alcançar uma prateleira muito alta e não conseguindo
59,expansion,block-059-finaliza-o-revisitando-finish-now,"Finalização (Revisitando: Finish, Now)",1,We finish.,Corredores cruzando a linha de chegada
59,expansion,block-059-finaliza-o-revisitando-finish-now,"Finalização (Revisitando: Finish, Now)",2,We finish the work.,Alguém fechando o laptop com satisfação
59,expansion,block-059-finaliza-o-revisitando-finish-now,"Finalização (Revisitando: Finish, Now)",3,We finish the work now and go home.,Pessoa pegando a chave do carro e saindo do escritório
60,expansion,block-060-identidade-e-nome-revisitando-call-name,"Identidade e Nome (Revisitando: Call, Name)",1,What is...?,Um ponto de interrogação flutuante
60,expansion,block-060-identidade-e-nome-revisitando-call-name,"Identidade e Nome (Revisitando: Call, Name)",2,What is the name?,Pessoa apontando para um objeto desconhecido
60,expansion,block-060-identidade-e-nome-revisitando-call-name,"Identidade e Nome (Revisitando: Call, Name)",3,How do you call this thing?,Pessoa segurando uma ferramenta estranha e perguntando a outra
61,conversation,block-061-opini-o-e-qualidade-revisitando-think-good,"Opinião e Qualidade (Revisitando: Think, Good)",1,I think so.,Alguém balançando a cabeça positivamente
61,conversation,block-061-opini-o-e-qualidade-revisitando-think-good,"Opinião e Qualidade (Revisitando: Think, Good)",2,I think this is good.,Alguém provando uma comida ou vendo um projeto
61,conversation,block-061-opini-o-e-qualidade-revisitando-think-good,"Opinião e Qualidade (Revisitando: Think, Good)",3,I think this is good for the world.,Uma lâmpada LED ou símbolo de reciclagem
62,conversation,block-062-possibilidade-e-lugar-revisitando-can-place,"Possibilidade e Lugar (Revisitando: Can, Place)",1,You can stay.,Alguém indicando uma cadeira/assento
62,conversation,block-062-possibilidade-e-lugar-revisitando-can-place,"Possibilidade e Lugar (Revisitando: Can, Place)",2,You can stay in this place.,Um hotel aconchegante ou uma sala
62,conversation,block-062-possibilidade-e-lugar-revisitando-can-place,"Possibilidade e Lugar (Revisitando: Can, Place)",3,You can stay here until the time to go.,Pessoa descansando e olhando para o relógio
63,conversation,block-063-movimento-coletivo-revisitando-come-with,"Movimento Coletivo (Revisitando: Come, With)",1,Come with us.,Grupo de amigos chamando com a mão
63,conversation,block-063-movimento-coletivo-revisitando-come-with,"Movimento Coletivo (Revisitando: Come, With)",2,Come with us to the city.,O grupo em frente a um trem ou ônibus
